City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,puerto cabezas,14.0351,-83.3888,305.13,74,75,6.17,NI,1720634695
286,ust-nera,64.5667,143.2,289.55,51,100,1.29,RU,1720634696
287,arraial do cabo,-22.9661,-42.0278,299.13,73,0,3.6,BR,1720634697
288,senador guiomard,-10.1522,-67.7392,299.01,30,4,0.95,BR,1720634698
289,bayanhongor,46.7167,100.1167,285.45,70,96,1.54,MN,1720634699
290,sisimiut,66.9395,-53.6735,279.21,81,100,3.12,GL,1720634700
291,usta muhammad,28.1794,68.0445,314.94,26,40,8.13,PK,1720634702
292,malayer,34.2969,48.8235,298.06,16,0,2.3,IR,1720634703
293,hilo,19.7297,-155.09,298.0,85,75,2.57,US,1720634460
294,spearfish,44.4908,-103.8594,303.21,26,0,3.58,US,1720634464
295,dahanu,19.9667,72.7333,300.85,89,66,6.04,IN,1720634706
296,alo,6.5486,4.2686,298.13,88,94,4.01,NG,1720634707
297,belyy yar,53.6039,91.3903,288.09,94,0,1.0,RU,1720634708
298,akureyri,65.6835,-18.0878,290.11,48,75,4.63,IS,1720634710
299,new norfolk,-42.7826,147.0587,281.88,98,65,1.06,AU,1720634711
300,dudinka,69.4058,86.1778,290.19,61,44,3.99,RU,1720634578
301,howard springs,-12.497,131.047,295.1,92,93,1.18,AU,1720634713
302,ketchikan,55.3422,-131.6461,286.67,96,100,2.97,US,1720634714
303,tuchkovo,55.6011,36.4681,294.04,69,2,2.54,RU,1720634715
304,alice springs,-23.7,133.8833,281.9,76,0,2.06,AU,1720634716
305,mahina,-17.5065,-149.489,300.02,69,20,3.09,PF,1720634717
306,harper,4.375,-7.7169,297.98,77,91,4.11,LR,1720634718
307,tromso,69.6496,18.957,287.16,62,20,3.09,NO,1720634464
308,kebili,33.7044,8.969,310.79,18,2,10.01,TN,1720634721
309,wynyard,-41.0,145.7167,282.95,87,92,2.05,AU,1720634723
310,magadan,59.5667,150.8,286.94,61,0,3.1,RU,1720634724
311,latacunga,-0.9333,-78.6167,289.89,63,75,9.77,EC,1720634446
312,newman,37.3138,-121.0208,304.28,19,0,1.99,US,1720634726
313,pingliang,35.5392,106.6861,291.88,84,23,1.19,CN,1720634727
314,hermanus,-34.4187,19.2345,289.15,78,58,13.76,ZA,1720634728
315,san patricio,28.017,-97.5169,306.57,47,86,4.15,US,1720634729
316,guatrache,-37.6678,-63.5302,280.92,36,46,5.81,AR,1720634731
317,ljungsbro,58.5167,15.5,291.31,97,100,4.12,SE,1720634732
318,hamilton,39.1834,-84.5333,296.62,78,100,11.18,US,1720634639
319,sao joao da barra,-21.6403,-41.0511,302.2,79,25,5.39,BR,1720634734
320,progreso,21.2833,-89.6667,306.54,55,89,4.84,MX,1720634735
321,kilindoni,-7.9139,39.6668,298.56,77,44,8.48,TZ,1720634736
322,vail,32.0479,-110.712,311.42,21,0,2.61,US,1720634737
323,santa ana de yacuma,-13.75,-65.4333,292.12,55,75,5.14,BO,1720634738
324,ankazobe,-18.3167,47.1167,284.71,79,3,2.73,MG,1720634739
325,los aquijes,-14.0967,-75.6908,296.45,38,0,1.63,PE,1720634741
326,paraty,-23.2178,-44.7131,296.8,86,47,1.76,BR,1720634494
327,tulun,54.5611,100.5792,289.46,97,99,3.94,RU,1720634743
328,tomatlan,19.9333,-105.25,305.68,57,90,3.3,MX,1720634744
329,fort bragg,35.139,-79.006,309.06,56,75,4.12,US,1720634745
330,kone,-21.0595,164.8658,292.42,96,41,2.53,NC,1720634746
331,richards bay,-28.783,32.0377,290.88,63,0,1.24,ZA,1720634747
332,tandalti,13.0167,31.8667,305.75,39,96,2.56,SD,1720634749
333,sainte-agathe-des-monts,46.0501,-74.2825,293.94,95,100,1.41,CA,1720634597
334,minas de marcona,-15.2119,-75.1103,288.47,59,35,7.71,PE,1720634751
335,huarmey,-10.0681,-78.1522,293.72,67,19,5.53,PE,1720634752
336,lewistown,40.5992,-77.5714,307.56,100,73,5.83,US,1720634753
337,dakhla,23.6848,-15.958,297.16,69,11,15.43,EH,1720634754
338,ancud,-41.8697,-73.8203,280.62,84,100,1.93,CL,1720634755
339,selfoss,63.9331,-20.9971,285.4,94,100,5.42,IS,1720634756
340,altai,46.3722,96.2583,288.02,58,100,4.47,MN,1720634757
341,macenta,8.5435,-9.471,295.84,98,94,1.06,GN,1720634759
342,cooper's town,26.8667,-77.5167,302.56,63,37,4.73,BS,1720634760
343,bafra,41.5678,35.9069,296.01,81,56,1.56,TR,1720634762
344,bardai,11.65,7.2333,301.17,58,80,3.09,NG,1720634763
345,xishan,27.6667,113.5,300.48,80,89,1.38,CN,1720634764
346,paracuru,-3.41,-39.0306,300.99,69,87,7.14,BR,1720634673
347,susuman,62.7833,148.1667,285.19,57,0,1.4,RU,1720634757
348,bowen,-20.0167,148.2333,290.23,93,21,2.89,AU,1720634767
349,garachico,28.7781,-17.7646,296.75,83,40,7.72,ES,1720634769
350,daru,-9.0763,143.2092,297.37,85,73,6.39,PG,1720634770
351,tura,25.5198,90.2201,297.56,97,84,3.06,IN,1720634771
352,whangarei,-35.7317,174.3239,280.9,93,21,1.28,NZ,1720634772
353,talakan,50.3167,130.3667,282.68,95,40,1.98,RU,1720634773
354,spassk,52.747,87.7545,285.61,97,27,1.18,RU,1720634774
355,portstewart,55.1813,-6.714,287.22,82,91,6.73,GB,1720634775
356,motueka,-41.1333,173.0167,278.2,86,39,1.88,NZ,1720634776
357,yekaterinoslavka,50.3734,129.1139,284.38,77,23,4.49,RU,1720634777
358,johnstown,40.3267,-78.922,308.12,93,60,3.74,US,1720634585
359,yadgir,16.7667,77.1333,300.2,70,100,6.8,IN,1720634780
360,lev tolstoy,53.2134,39.446,294.45,82,49,3.44,RU,1720634781
361,mambajao,9.2504,124.7156,300.19,85,99,2.36,PH,1720634782
362,coquimbo,-29.9533,-71.3436,286.0,58,20,4.12,CL,1720634773
363,tazovsky,67.4667,78.7,287.04,71,12,3.61,RU,1720634785
364,masjed soleyman,31.9364,49.3039,312.8,10,0,3.19,IR,1720634786
365,kibi,6.1649,-0.5538,295.88,95,93,1.75,GH,1720634789
366,lingdong,46.5669,131.1453,288.51,92,67,2.36,CN,1720634790
367,namibe,-15.1961,12.1522,291.33,82,0,3.37,AO,1720634791
